Year,HS Level,Code,Chinese Name,English Name,Export Value,Ranking
2019,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","813,170,238",9
2019,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"688,449,404",10
2019,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"662,331,942",11
2019,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","577,049,063",12
2019,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","547,415,956",13
2019,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","534,903,562",14
2019,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","483,903,438",15
2019,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","476,993,783",16
2019,HS4,8534,印刷電路,Printed circuit,"441,013,002",17
2019,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"428,036,403",18
2019,HS4,8543,本章未列名但具有獨立功能之電機及器具,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter","427,246,943",19
2019,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"427,019,409",20
2019,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"2,733,037,735",1
2019,HS6,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元,"Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units","2,482,491,666",2
2019,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","2,329,932,496",3
2019,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,363,600,795",4
2019,HS6,854239,其他,Other,"1,262,974,946",5
2019,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"1,197,037,385",6
2019,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","962,928,174",7
2019,HS6,847180,其他自動資料處理機單元,Other units of automatic data processing machines,"791,307,829",8
2019,HS6,870899,其他,Other,"790,652,064",9
2019,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"679,537,387",10
2019,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","657,698,119",11
2019,HS6,851770,零件,Parts,"611,551,298",12
2019,HS6,852990,其他,Other,"593,053,682",13
2019,HS6,870829,其他,Other,"575,723,738",14
2019,HS6,851769,其他,Other,"514,726,408",15
2019,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","493,716,451",16
2019,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","483,903,438",17
2019,HS6,853400,印刷電路,Printed circuit,"441,013,002",18
2019,HS6,850440,靜電式變流器,Static converters,"437,921,914",19
2019,HS6,392690,其他,Other,"383,448,500",20
2020,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","6,973,904,831",1
2020,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","4,073,989,493",2
2020,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","3,206,759,654",3
2020,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,920,784,738",4
2020,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,689,817,152",5
2020,HS4,8542,積體電路,Electronic integrated circuits,"1,615,692,673",6
2020,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","1,545,077,499",7
2020,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","1,309,921,437",8
2020,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"824,316,585",9
2020,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","797,982,737",10
2020,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"791,816,176",11
2020,HS4,8528,監視器及投影機，未裝有電視接收器具；電視接收器具，不論是否裝有無線電廣播接收機或音、影錄或放器具者,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","740,325,260",12
2020,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","716,061,828",13
2020,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","620,047,415",14
2020,HS4,4011,新橡膠氣胎,"New pneumatic tyres, of rubber","569,730,942",15
2020,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","566,902,565",16
2020,HS4,8543,本章未列名但具有獨立功能之電機及器具,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter","490,151,718",17
2020,HS4,8486,專供或主要供製造半導體晶柱或晶圓、半導體裝置、積體電路及平面顯示器之機器及器具；本章註十一（丙）所規範之機器及器具；零件及附件,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.","478,887,731",18
2020,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"478,842,521",19
2020,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"452,287,668",20
2020,HS6,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元,"Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units","3,457,928,688",1
2020,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"3,128,158,099",2
2020,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","2,963,123,128",3
2020,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,613,745,915",4
2020,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"1,492,558,717",5
2020,HS6,854239,其他,Other,"1,342,946,525",6
2020,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","971,649,919",7
2020,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","885,300,275",8
2020,HS6,870899,其他,Other,"834,277,190",9
2020,HS6,852990,其他,Other,"709,081,152",10
2020,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"671,605,407",11
2020,HS6,850440,靜電式變流器,Static converters,"589,337,821",12
2020,HS6,847180,其他自動資料處理機單元,Other units of automatic data processing machines,"579,380,594",13
2020,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","563,748,378",14
2020,HS6,870829,其他,Other,"535,898,542",15
2020,HS6,851769,其他,Other,"498,497,414",16
2020,HS6,851770,零件,Parts,"476,014,929",17
2020,HS6,392690,其他,Other,"425,224,232",18
2020,HS6,940320,其他金屬製家具,Other metal furniture,"410,958,730",19
2020,HS6,853400,印刷電路,Printed circuit,"409,498,658",20
2021,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","7,284,955,415",1
2021,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","5,767,776,734",2
2021,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","4,118,406,617",3
2021,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"2,428,832,378",4
2021,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","2,288,505,788",5
2021,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","2,249,932,503",6
2021,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","2,150,306,656",7
2021,HS4,8542,積體電路,Electronic integrated circuits,"2,035,874,058",8
2021,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","1,023,614,914",9
2021,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"990,845,521",10
2021,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","982,659,357",11
2021,HS4,8528,監視器及投影機，未裝有電視接收器具；電視接收器具，不論是否裝有無線電廣播接收機或音、影錄或放器具者,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","969,975,856",12
2021,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"895,720,884",13
2021,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","757,870,580",14
2021,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","747,322,401",15
2021,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"684,157,610",16
2021,HS4,7210,經護面、鍍面或塗面之鐵或非合金鋼扁軋製品，寬度６００公厘及以上者,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated","680,926,836",17
2021,HS4,8543,本章未列名但具有獨立功能之電機及器具,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter","662,850,755",18
2021,HS4,3926,其他塑膠製品及第３９０１至３９１４節之材料製成品,Other articles of plastics and articles of other materials of headings 39.01 to 39.14.,"604,659,208",19
2021,HS4,8486,專供或主要供製造半導體晶柱或晶圓、半導體裝置、積體電路及平面顯示器之機器及器具；本章註十一（丙）所規範之機器及器具；零件及附件,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.","584,047,684",20
2021,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"5,706,413,870",1
2021,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","3,149,583,466",2
2021,HS6,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元,"Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units","3,067,902,194",3
2021,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"2,087,843,511",4
2021,HS6,950691,一般體能運動、體操或競技比賽用物品及設備,"Articles and equipment for general physical exercise, gymnastics or athletics","1,773,664,223",5
2021,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,711,365,369",6
2021,HS6,854239,其他,Other,"1,652,097,968",7
2021,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","1,119,084,763",8
2021,HS6,870899,其他,Other,"1,043,031,727",9
2021,HS6,847180,其他自動資料處理機單元,Other units of automatic data processing machines,"999,956,282",10
2021,HS6,852990,其他,Other,"872,216,985",11
2021,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"849,609,791",12
2021,HS6,850440,靜電式變流器,Static converters,"815,108,792",13
2021,HS6,870829,其他,Other,"725,677,439",14
2021,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","682,380,354",15
2021,HS6,852872,其他，彩色者,"Other, colour","604,431,549",16
2021,HS6,854370,其他電機及器具,Other machines and apparatus,"564,853,315",17
2021,HS6,853400,印刷電路,Printed circuit,"561,692,199",18
2021,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","544,223,670",19
2021,HS6,392690,其他,Other,"541,306,275",20
2022,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","10,506,243,331",1
2022,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","6,668,920,043",2
2022,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","5,588,035,051",3
2022,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"3,433,298,638",4
2022,HS4,8542,積體電路,Electronic integrated circuits,"3,233,872,092",5
2022,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","2,747,362,820",6
2022,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","1,800,374,689",7
2022,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","1,222,517,261",8
2022,HS4,8537,控電或配電用板、面板、機櫃、檯、箱及其他基板，裝配有第８５３５或８５３６節所列二種或以上之器具，包括裝有第九十章所列之儀器或器具，及數值控制器具者，第８５１７節所列之電訊交換器具除外,"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading No.85.35 or 85.36, for electric control or the distribution of electricity, including those incorporating instruments or apparatus of Chapter 90, and numerical control apparatus, other than switching apparatus of heading No.85.17","1,088,203,769",9
2022,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","1,083,073,418",10
2022,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","967,798,340",11
2022,HS4,8481,管子、鍋爐外殼、槽、桶或其類似物品用栓塞、旋塞、閥及類似用具，包括減壓閥及恆溫控制閥,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","881,138,979",12
2022,HS4,8525,無線電廣播或電視之傳輸器具，不論是否裝有接收或錄或放音器具者；電視攝影機；數位相機及影像攝錄機,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders","866,468,780",13
2022,HS4,8714,第８７１１至８７１３節所列車輛之零件及附件,Parts and accessories of vehicles of headings 87.11 to 87.13,"734,279,039",14
2022,HS4,9403,其他家具及其零件,Other furniture and parts thereof,"718,735,401",15
2022,HS4,3907,聚縮醛，其他聚醚及環氧樹脂，初級狀態；聚碳酸樹脂，醇酸樹脂，聚丙烯酯及其他聚酯，初級狀態,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms","695,932,448",16
2022,HS4,8712,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","684,002,008",17
2022,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"677,133,451",18
2022,HS4,8543,本章未列名但具有獨立功能之電機及器具,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter","667,876,623",19
2022,HS4,8486,專供或主要供製造半導體晶柱或晶圓、半導體裝置、積體電路及平面顯示器之機器及器具；本章註十一（丙）所規範之機器及器具；零件及附件,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 11(C) to this Chapter; parts and accessories.","648,428,095",20
2022,HS6,847330,第８４７１節機器之零件及附件,Parts and accessories of the machines of heading 84.71,"6,616,332,429",1
2022,HS6,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","4,123,779,136",2
2022,HS6,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元,"Processing units other than those of subheadings 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit; storage units, input units, output units","3,472,006,053",3
2022,HS6,847180,其他自動資料處理機單元,Other units of automatic data processing machines,"3,329,317,659",4
2022,HS6,854239,其他,Other,"2,601,929,356",5
2022,HS6,847130,攜帶式自動資料處理機，其重量不超過１０公斤並至少包含有一中央處理單元，一鍵盤及一顯示器者,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display","1,994,243,142",6
2022,HS6,852351,固態非揮發性儲存裝置,Solid-state non-volatile storage devices,"1,753,297,616",7
2022,HS6,870829,其他,Other,"1,644,704,683",8
2022,HS6,731815,其他螺釘及螺栓，有否附螺帽及墊圈均在內,"Other screws and bolts, whether or not with their nuts or washers","1,444,762,356",9
2022,HS6,853710,電壓未超過１０００伏特者,"For a voltage not exceeding 1,000 V","1,088,032,342",10
2022,HS6,870899,其他,Other,"1,065,533,881",11
2022,HS6,850440,靜電式變流器,Static converters,"1,015,047,393",12
2022,HS6,851220,其他照明或視覺信號設備,Other lighting or visual signalling equipment,"814,147,494",13
2022,HS6,852580,電視攝影機、數位相機及影像攝錄機,"Television cameras, digital cameras and video camera recorders","797,589,709",14
2022,HS6,851769,其他,Other,"776,468,005",15
2022,HS6,871200,非動力之二輪腳踏車及其他腳踏車（包括載貨三輪腳踏車）,"Bicycles and other cycles (including delivery tricycles), not motorised","684,002,008",16
2022,HS6,853400,印刷電路,Printed circuit,"637,490,801",17
2022,HS6,847141,同一機殼內至少包含有一中央處理單元及一輸入、輸出單元，不論是否組合者,"Comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined","595,108,919",18
2022,HS6,854370,其他電機及器具,Other machines and apparatus,"571,155,047",19
2022,HS6,852990,其他,Other,"568,173,756",20
2023,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","21,429,935,487",1
2023,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","6,343,963,243",2
2023,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","6,084,915,987",3
2023,HS4,8542,積體電路,Electronic integrated circuits,"3,497,676,637",4
2023,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"2,354,126,522",5
2023,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","2,016,267,749",6
2023,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","1,425,072,553",7
2023,HS4,8504,變壓器、靜電式變流器（例如：整流器）及電感器,"Electrical transformers, static converters (for example, rectifiers) and inductors","1,274,386,788",8
2023,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","892,551,264",9
2023,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","791,237,658",10
